Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,1990,All ages,Both,Neglected tropical diseases and malaria,DALYs,98155689.665389,86989421.168848,110880244.06842
Global,1995,All ages,Both,Neglected tropical diseases and malaria,DALYs,109037024.84414,96955217.291149,121246217.72678
Global,2000,All ages,Both,Neglected tropical diseases and malaria,DALYs,114863244.41861,102791587.74039,127137982.84439
Global,2005,All ages,Both,Neglected tropical diseases and malaria,DALYs,121587642.88578,108043821.72693,136597458.48932
Global,2010,All ages,Both,Neglected tropical diseases and malaria,DALYs,104317807.6296,90378490.826457,120189596.6243
Global,2013,All ages,Both,Neglected tropical diseases and malaria,DALYs,90676835.814257,75748926.182921,107737598.65154
Global,1990,All ages,Both,"Diarrhea, lower respiratory, and other common infectious diseases",DALYs,549896019.88635,517230650.71962,583753938.12407
Global,1995,All ages,Both,"Diarrhea, lower respiratory, and other common infectious diseases",DALYs,469801201.02852,442838582.62452,496690072.22213
Global,2000,All ages,Both,"Diarrhea, lower respiratory, and other common infectious diseases",DALYs,399828665.78438,374602664.59163,424107794.35519
Global,2005,All ages,Both,"Diarrhea, lower respiratory, and other common infectious diseases",DALYs,316908832.61419,298964265.21392,335711180.86001
Global,2010,All ages,Both,"Diarrhea, lower respiratory, and other common infectious diseases",DALYs,266775784.99071,249498752.86512,284138757.22819
Global,2013,All ages,Both,"Diarrhea, lower respiratory, and other common infectious diseases",DALYs,249855059.47002,231222072.98181,269625344.64395
Global,1990,All ages,Both,HIV/AIDS and tuberculosis,DALYs,85637814.067559,79961534.552225,93697556.639676
Global,1995,All ages,Both,HIV/AIDS and tuberculosis,DALYs,109126361.61084,101613800.06351,117409310.87244
Global,2000,All ages,Both,HIV/AIDS and tuberculosis,DALYs,135681300.28934,126699485.65389,145034352.60525
Global,2005,All ages,Both,HIV/AIDS and tuberculosis,DALYs,150303975.36683,141828209.93542,159539577.23457
Global,2010,All ages,Both,HIV/AIDS and tuberculosis,DALYs,130143372.41006,123445967.56574,137779037.21477
Global,2013,All ages,Both,HIV/AIDS and tuberculosis,DALYs,119179630.74736,112497733.24018,127584907.68463
